Sample Name,Target,Cq
pD9ua-K12-1,lacZ,24.24
pD9ua-K12-1,lacZ,24.43
pD9ua-K12-1,lacZ,24.65
pD9mv-K12-1,lacZ,31.42
pD9mv-K12-1,lacZ,31.62
pD9mv-K12-1,lacZ,31.44
pD9m2ua-K12-1,lacZ,23.58
pD9m2ua-K12-1,lacZ,23.49
pD9m2ua-K12-1,lacZ,25.87
pD9m2mv-K12-1,lacZ,31.04
pD9m2mv-K12-1,lacZ,31.09
pD9m2mv-K12-1,lacZ,31.16
pD9ua-K12-2,lacZ,25.48
pD9ua-K12-2,lacZ,25.2
pD9ua-K12-2,lacZ,25.14
pD9mv-K12-2,lacZ,33.86
pD9mv-K12-2,lacZ,33.19
pD9mv-K12-2,lacZ,33.02
pD9m2ua-K12-2,lacZ,26.42
pD9m2ua-K12-2,lacZ,26.69
pD9m2ua-K12-2,lacZ,26.54
pD9m2mv-K12-2,lacZ,33.29
pD9m2mv-K12-2,lacZ,33.65
pD9m2mv-K12-2,lacZ,33.72
pD9ua-K12-1,GFP,24.15
pD9ua-K12-1,GFP,24.24
pD9ua-K12-1,GFP,24.08
pD9mv-K12-1,GFP,24.93
pD9mv-K12-1,GFP,24.49
pD9mv-K12-1,GFP,24.21
pD9m2ua-K12-1,GFP,23.26
pD9m2ua-K12-1,GFP,22.85
pD9m2ua-K12-1,GFP,22.67
pD9m2mv-K12-1,GFP,26.07
pD9m2mv-K12-1,GFP,26.11
pD9m2mv-K12-1,GFP,26.23
pD9ua-K12-2,GFP,24.82
pD9ua-K12-2,GFP,24.86
pD9ua-K12-2,GFP,24.89
pD9mv-K12-2,GFP,27.43
pD9mv-K12-2,GFP,27.39
pD9mv-K12-2,GFP,27.19
pD9m2ua-K12-2,GFP,26.72
pD9m2ua-K12-2,GFP,27.04
pD9m2ua-K12-2,GFP,26.72
pD9m2mv-K12-2,GFP,28.04
pD9m2mv-K12-2,GFP,28.32
pD9m2mv-K12-2,GFP,28.05
