Sample Name,Target,Cq
pD9ua-G9,lacZ,25.81
pD9ua-G9,lacZ,27.12
pD9ua-G9,lacZ,26.76
pD9mv-G9,lacZ,37.31
pD9mv-G9,lacZ,37.04
pD9mv-G9,lacZ,37.66
pD9ua-G9,GFP,24.64
pD9ua-G9,GFP,26.19
pD9ua-G9,GFP,25.39
pD9mv-G9,GFP,27.16
pD9mv-G9,GFP,26.52
pD9mv-G9,GFP,26.8
pD9m2ua-G9,lacZ,25.12
pD9m2ua-G9,lacZ,27.04
pD9m2ua-G9,lacZ,27.42
pD9m2mv-G9,lacZ,32.33
pD9m2mv-G9,lacZ,33.38
pD9m2mv-G9,lacZ,32.66
pD9m2ua-G9,GFP,24.5
pD9m2ua-G9,GFP,25.61
pD9m2ua-G9,GFP,26.74
pD9m2mv-G9,GFP,26.03
pD9m2mv-G9,GFP,25.57
pD9m2mv-G9,GFP,26.48
pD9ua-A5,lacZ,26.16
pD9ua-A5,lacZ,27.55
pD9ua-A5,lacZ,31.77
pD9mv-A5,lacZ,37.95
pD9mv-A5,lacZ,37.84
pD9mv-A5,lacZ,36.62
pD9ua-A5,GFP,25.47
pD9ua-A5,GFP,26.51
pD9ua-A5,GFP,26.79
pD9mv-A5,GFP,29.2
pD9mv-A5,GFP,29.44
pD9mv-A5,GFP,29.34
pD9m2ua-A5,lacZ,26.03
pD9m2ua-A5,lacZ,27.54
pD9m2ua-A5,lacZ,25.44
pD9m2mv-A5,lacZ,36.87
pD9m2mv-A5,lacZ,36.31
pD9m2mv-A5,lacZ,39.15
pD9m2ua-A5,GFP,25.1
pD9m2ua-A5,GFP,25.42
pD9m2ua-A5,GFP,25.29
pD9m2mv-A5,GFP,30.59
pD9m2mv-A5,GFP,30.76
pD9m2mv-A5,GFP,30.13
pD9ua-DH5alpha,lacZ,25.66
pD9ua-DH5alpha,lacZ,27.13
pD9ua-DH5alpha,lacZ,26.08
pD9mv-DH5alpha,lacZ,32.07
pD9mv-DH5alpha,lacZ,32.05
pD9mv-DH5alpha,lacZ,32.1
pD9ua-DH5alpha,GFP,26.33
pD9ua-DH5alpha,GFP,26.58
pD9ua-DH5alpha,GFP,26.69
pD9mv-DH5alpha,GFP,25.53
pD9mv-DH5alpha,GFP,25.82
pD9mv-DH5alpha,GFP,25.55
pD9m2ua-DH5alpha,lacZ,25.99
pD9m2ua-DH5alpha,lacZ,26.37
pD9m2ua-DH5alpha,lacZ,26.09
pD9m2mv-DH5alpha,lacZ,31.85
pD9m2mv-DH5alpha,lacZ,31.81
pD9m2mv-DH5alpha,lacZ,31.8
pD9m2ua-DH5alpha,GFP,26.24
pD9m2ua-DH5alpha,GFP,26.87
pD9m2ua-DH5alpha,GFP,25.7
pD9m2mv-DH5alpha,GFP,25.46
pD9m2mv-DH5alpha,GFP,25.29
pD9m2mv-DH5alpha,GFP,NaN
