Sample Name,Target,Cq
pD9ua-DH5alpha,GFP,25.6
pD9ua-DH5alpha,GFP,25.67
pD9ua-DH5alpha,GFP,26.74
pD9mv-DH5alpha,GFP,26.04
pD9mv-DH5alpha,GFP,26.35
pD9mv-DH5alpha,GFP,25.89
pD9ua-DH5alpha,lacZ,27.05
pD9ua-DH5alpha,lacZ,27.13
pD9ua-DH5alpha,lacZ,27.12
pD9mv-DH5alpha,lacZ,32.19
pD9mv-DH5alpha,lacZ,32.46
pD9mv-DH5alpha,lacZ,32.47
pD9m2ua-DH5alpha,GFP,24.76
pD9m2ua-DH5alpha,GFP,25.57
pD9m2ua-DH5alpha,GFP,25.93
pD9m2mv-DH5alpha,GFP,27.05
pD9m2mv-DH5alpha,GFP,26.83
pD9m2mv-DH5alpha,GFP,26.38
pD9m2ua-DH5alpha,lacZ,26.24
pD9m2ua-DH5alpha,lacZ,26.05
pD9m2ua-DH5alpha,lacZ,26.14
pD9m2mv-DH5alpha,lacZ,33.01
pD9m2mv-DH5alpha,lacZ,32.99
pD9m2mv-DH5alpha,lacZ,32.1
pD9ua-BW25113,GFP,25.14
pD9ua-BW25113,GFP,25.81
pD9ua-BW25113,GFP,25.93
pD9mv-BW25113,GFP,26.83
pD9mv-BW25113,GFP,27.19
pD9mv-BW25113,GFP,26.6
pD9ua-BW25113,lacZ,25.9
pD9ua-BW25113,lacZ,26.61
pD9ua-BW25113,lacZ,26.22
pD9mv-BW25113,lacZ,33.13
pD9mv-BW25113,lacZ,33.81
pD9mv-BW25113,lacZ,33.39
pD9m2ua-BW25113,GFP,25.48
pD9m2ua-BW25113,GFP,25.45
pD9m2ua-BW25113,GFP,25.56
pD9m2mv-BW25113,GFP,25.94
pD9m2mv-BW25113,GFP,26.13
pD9m2mv-BW25113,GFP,26.19
pD9m2ua-BW25113,lacZ,26.39
pD9m2ua-BW25113,lacZ,25.87
pD9m2ua-BW25113,lacZ,26.07
pD9m2mv-BW25113,lacZ,32.67
pD9m2mv-BW25113,lacZ,32.29
pD9m2mv-BW25113,lacZ,31.94
pD9ua-BL21,GFP,28.2
pD9ua-BL21,GFP,28.08
pD9ua-BL21,GFP,27.93
pD9mv-BL21,GFP,28.26
pD9mv-BL21,GFP,28.4
pD9mv-BL21,GFP,27.9
pD9ua-BL21,lacZ,29.09
pD9ua-BL21,lacZ,29.55
pD9ua-BL21,lacZ,29.49
pD9mv-BL21,lacZ,38.34
pD9mv-BL21,lacZ,38.25
pD9mv-BL21,lacZ,NaN
pD9m2ua-BL21,GFP,26.29
pD9m2ua-BL21,GFP,26.6
pD9m2ua-BL21,GFP,28.12
pD9m2mv-BL21,GFP,26.31
pD9m2mv-BL21,GFP,27.37
pD9m2mv-BL21,GFP,26.59
pD9m2ua-BL21,lacZ,28.21
pD9m2ua-BL21,lacZ,27.9
pD9m2ua-BL21,lacZ,28.1
pD9m2mv-BL21,lacZ,33.58
pD9m2mv-BL21,lacZ,33.61
pD9m2mv-BL21,lacZ,33.49
